Designator,Mid X,Mid Y,Rotation,Layer
C1,140.152761,-93.814691,90.0,top
C10,140.15,-103.96,270.0,top
C11,138.257715,-93.560964,90.0,top
C12,136.058613,-91.163039,90.0,top
C13,129.45,-83.3,90.0,top
C14,134.65,-89.25,180.0,top
C15,135.869404,-106.61489,270.0,top
C16,141.116137,-106.841997,90.0,top
C17,133.38,-90.5,180.0,top
C18,138.711599,-118.834739,135.0,top
C19,135.734678,-118.488256,225.0,top
C2,139.15,-103.96,270.0,top
C20,138.937874,-116.275012,315.0,top
C21,131.660589,-107.789411,45.0,top
C22,129.010589,-110.439411,225.0,top
C23,132.48906,-114.365823,135.0,top
C24,131.774882,-115.080001,135.0,top
C25,130.9,-119.0,90.0,top
C26,128.8,-119.0,270.0,top
C3,130.070252,-100.051372,180.0,top
C4,130.82,-95.5,180.0,top
C5,139.176955,-93.815523,90.0,top
C6,137.03,-90.8,90.0,top
C7,138.0173,-90.48,90.0,top
C8,140.201426,-95.462248,0.0,top
C9,140.7,-100.4,315.0,top
D1,135.05,-87.0125,270.0,top
D3,132.0,-83.8,0.0,top
DRGB1,140.45,-91.2,270.0,top
J1,135.5,-77.5,180.0,top
L1,133.174953,-116.282083,225.0,top
L2,133.814883,-117.699832,315.0,top
L3,132.4,-118.4,180.0,top
R1,136.9,-83.85,270.0,top
R10,141.0,-88.7,270.0,top
R11,135.1,-83.909999,270.0,top
R2,134.12,-83.87,270.0,top
R3,137.274838,-93.582226,270.0,top
R4,136.277816,-93.574275,270.0,top
R5,137.549498,-103.961672,180.0,top
R6,140.0,-88.7,90.0,top
R7,131.380001,-90.5,180.0,top
R8,137.035756,-117.72458,135.0,top
R9,130.339376,-109.125843,225.0,top
SW1,140.45,-86.0,180.0,top
U2,135.5,-98.92,90.0,top
U3,132.365,-92.28,0.0,top
U4,136.09,-114.06,315.0,top
U5,130.85,-87.3125,0.0,top
Y1,138.51,-106.68,180.0,top
Y2,131.421142,-111.626777,225.0,top
